"id"	"name"	"type"	"unit"	"Jan 2013"	"Feb 2013"	"Mar 2013"	"Apr 2013"	"May 2013"	"Jun 2013"	"Jul 2013"	"Aug 2013"	"Sep 2013"	"Oct 2013"	"Nov 2013"	"Dec 2013"
"vte"	"V.T.E."	"passengers"	"num"	0	0	0	0	0	0	0	0	0	0	0	0
"enel"	"ENEL"	"coal"	"tons"	0	0	0	0	0	0	0	0	0	0	0	0
"enel"	"ENEL"	"olii minerali"	"tons"	0	0	0	0	0	0	0	0	0	1741	0	0
"ilva"	"ILVA/A. CORNIGLIANO"	"minerali"	"tons"	515	0	1553	0	763	51	158	133	7905	79	76	79
"ilva"	"ILVA/A. CORNIGLIANO"	"steel"	"tons"	277033	165439	262333	281806	265962	263606	369422	176539	180047	344246	248713	256526
"portopetroli"	"PORTO PETROLI"	"oil"	"tons"	1281565	1295181	1473107	1220244	1181078	99514	1424225	1464611	953617	1447573	1310001	1377618
"portopetroli"	"PORTO PETROLI"	"chemicals"	"tons"	21882	18787	24684	16638	15618	26352	17609	21677	13624	20185	1741	20407
"enipetrolig"	"ENI / PETROLIG"	"mineral oil"	"tons"	26288	26092	65187	68811	48624	66555	487	36472	25284	53228	8488	23441
"silomar"	"SILOMAR"	"chemicals"	"tons"	25258	12247	23385	14589	1984	21987	6801	18504	2501	19113	18746	10982
"silomar"	"SILOMAR"	"mineral oil/biodegradables"	"tons"	11364	8067	15882	17809	5622	5	10472	10216	6884	2985	6008	175
"silomar"	"SILOMAR"	"vegetable oil"	"tons"	0	0	0	0	0	0	0	0	0	0	0	39
"saar"	"S.A.A.R."	"vegetable oil"	"tons"	8574	10751	8654	23368	15914	0	28221	10176	16889	24828	16642	1622
"saar"	"S.A.A.R."	"chemicals"	"tons"	0	2302	2232	2441	7459	2302	5	7506	3705	0	8057	0
"saar"	"S.A.A.R."	"mineral/biodegradable oil"	"tons"	0	0	0	0	0	0	0	0	0	0	4985	0
"sampolii"	"SAMPIERDARENA OLII"	"vegetable oil"	"tons"	286	315	28	0	0	291	508	3347	6093	838	6591	3
"sampolii"	"SAMPIERDARENA OLII"	"wine"	"tons"	848	66	5765	56	32	3	601	4014	8429	655	6	315
"sampolii"	"SAMPIERDARENA OLII"	"chemicals"	"tons"	0	0	0	0	0	0	0	0	0	0	204	0
"getoil"	"GETOIL"	"mineral oil"	"tons"	0	1	0	0	22	0	0	0	44	22	22	0
