"id"	"name"	"type"	"unit"	"Jan 2012"	"Feb 2012"	"Mar 2012"	"Apr 2012"	"May 2012"	"Jun 2012"	"Jul 2012"	"Aug 2012"	"Sep 2012"	"Oct 2012"	"Nov 2012"	"Dec 2012"
"vte"	"V.T.E."	"car carrier"	"tons"	2686	4351	5376	4471	1657	3411	2483	2281	1804	1920	2402	2809
"vte"	"V.T.E."	"miscellaneous goods"	"tons"	90	563	269	200	327	483	663	600	389	545	370	1083
"vte"	"V.T.E."	"trucks"	"mtl"	0	0	0	0	0	0	0	0	0	0	0	0
"vte"	"V.T.E."	"vehicles"	"num"	0	0	0	0	0	0	0	0	0	0	0	0
"vte"	"V.T.E."	"passengers"	"num"	0	0	0	0	0	0	0	0	0	0	0	0
"enel"	"ENEL"	"coal"	"tons"	0	0	7024	0	7137	0	0	7141	0	0	0	0
"enel"	"ENEL"	"olii minerali"	"tons"	0	2769	2728	0	0	0	0	0	0	0	0	0
"ilva"	"ILVA/A. CORNIGLIANO"	"minerali"	"tons"	4399	8639	7592	19543	25434	15812	21660	11154	14711	16596	22496	5196
"ilva"	"ILVA/A. CORNIGLIANO"	"steel"	"tons"	292804	291605	346497	319928	288590	268012	214378	264712	238298	294555	226770	112047
"portopetroli"	"PORTO PETROLI"	"oil"	"tons"	1721155	905776	1239420	842392	1451537	1453489	1045538	1555031	1103921	1542765	1309747	1332509
"portopetroli"	"PORTO PETROLI"	"chemicals"	"tons"	13802	24189	27932	18685	14523	17478	16944	22177	17811	28231	20960	20527
"enipetrolig"	"ENI / PETROLIG"	"mineral oil"	"tons"	26065	23948	23184	43494	74237	47151	35095	50608	28235	34041	31411	14197
"silomar"	"SILOMAR"	"chemicals"	"tons"	21632	11304	29747	13989	21105	24423	14476	23785	30160	26162	10763	14025
"silomar"	"SILOMAR"	"mineral oil/biodegradables"	"tons"	23821	6465	19705	15811	32405	8613	28889	16282	18810	22647	10119	9096
"silomar"	"SILOMAR"	"vegetable oil"	"tons"	0	0	0	0	0	0	0	0	0	0	0	0
"saar"	"S.A.A.R."	"vegetable oil"	"tons"	16426	20100	6057	25361	16888	14642	15759	16332	15797	13089	20155	11861
"saar"	"S.A.A.R."	"chemicals"	"tons"	0	0	1943	0	2186	2830	2184	2922	0	1570	2517	2938
"saar"	"S.A.A.R."	"mineral/biodegradable oil"	"tons"	29744	14013	29571	12299	4000	16005	4521	13000	30659	6038	0	6099
"sampolii"	"SAMPIERDARENA OLII"	"vegetable oil"	"tons"	5850	9922	5985	6440	8910	0	6250	0	2800	5890	3250	3017
"sampolii"	"SAMPIERDARENA OLII"	"wine"	"tons"	8514	6637	8496	5740	5790	7550	13050	0	1800	6250	9226	6320
"sampolii"	"SAMPIERDARENA OLII"	"chemicals"	"tons"	0	0	0	0	0	0	0	0	1800	0	0	0
"getoil"	"GETOIL"	"mineral oil"	"tons"	0	0	1467	0	0	0	17300	4400	12500	3700	1850	2850
